sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200400063","GDF Suez Maximacentrale","05043978","19195","39200","Ja","19195","62091","Ja","796977","1052853","Ja","1881072","1906613","Ja","1881072","1726551","Ja","0","1418476","Ja"
"NL-200400075","GDF Suez Eemscentrale","05043978","3300670","4323307","Ja","3300669","5335129","Ja","3300669","4763424","Ja","3300669","3288867","Ja","3300669","1409289","Ja","0","1623948","Ja"
"NL-200400044","Elsta B.V. & Co. C.V.","22035687","1542006","1709716","Ja","1542006","1660157","Ja","1542006","1693609","Ja","1542006","1660774","Ja","1542006","1503285","Ja","0","1391541","Ja"
"NL-200400302","E-max Aluminium Remelt","14094876","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20139","15729","Ja"
"NL-200400222","Emmtec Services bv","04056193","297585","244153","Ja","305699","151480","Ja","316324","177722","Ja","316324","178663","Ja","335383","169559","Ja","157483","164964","Ja"
"NL-200400082","ENCI B.V., vestiging IJmuiden","14602233","29222","24444","Ja","29222","15351","Ja","29221","12042","Ja","29221","10712","Ja","29221","8606","Ja","14524","8859","Ja"
"NL-200400006","ENCI B.V., vestiging Maastricht","14602233","715918","615743","Ja","715918","601070","Ja","715918","527892","Ja","715918","513492","Ja","715918","468180","Ja","598225","419461","Ja"
"NL-200400042","Enecal Energy V.O.F.","17076906","221901","222422","Ja","221900","234471","Ja","221900","205958","Ja","221900","189806","Ja","221900","100048","Ja","0","37209","Ja"
"NL-200500110","Eneco Solar, Bio & Hydro BV, HWC Ypenburg","24495269","18760","8189","Ja","18759","11704","Ja","18759","11075","Ja","18759","9447","Ja","18759","8764","Ja","9184","10448","Ja"
"NL-200700050","Eneco Solar, Bio & Hydro BV, WKC Vaanpark","24495269","6219","5404","Ja","6218","6388","Ja","6218","7170","Ja","6218","6277","Ja","6218","6130","Ja","3618","6093","Ja"
"NL-200400250","Eneco Solar, Bio & Hydro BV, WKC Vijfwal","24495269","10444","12398","Ja","10444","13926","Ja","10443","15546","Ja","10443","14980","Ja","10443","16426","Ja","6690","17070","Ja"
"NL-200400251","Eneco Solar, Bio & Hydro BV, WKC Oosterheem","24495269","11157","11119","Ja","11157","11034","Ja","11156","12319","Ja","11156","10931","Ja","11156","11506","Ja","5780","11957","Ja"
"NL-200500100","Eneco Solar, Bio & Hydro BV, WKC Wateringseveld","24495269","9673","6233","Ja","9673","7189","Ja","9673","9591","Ja","9672","8776","Ja","9672","9520","Ja","4618","9790","Ja"
"NL-200400252","Eneco Solar, Bio & Hydro BV, WKC Ypenburg","24495269","34995","36585","Ja","34994","29197","Ja","34994","38019","Ja","34994","34586","Ja","34994","39208","Ja","16730","40656","Ja"
"NL-200700122","Eneco Solar, Bio & Hydro BV, WKC Vathorst","24495269","8351","8238","Ja","8351","8453","Ja","8350","9462","Ja","8350","8958","Ja","8350","9689","Ja","4457","9910","Ja"
"NL-201000055","Enecogen","24396477","-","-","-","-","-","-","-","-","-","0","422920","Ja","0","439010","Ja","0","400218","Ja"
"NL-200700015","Energiecoöperatie Greenhouse Energy U.A.","09179185","33388","48713","Ja","45728","42915","Ja","45724","48257","Ja","45724","43756","Ja","45724","41990","Ja","21742","37340","Ja"
"NL-200400085","ESD-SIC bv","02320474","106682","126322","Ja","106682","50340","Ja","106681","102406","Ja","106681","100239","Ja","106681","84872","Ja","102218","132620","Ja"
"NL-200400136","Eska Graphic Board Hoogezand","02037748","74342","66126","Ja","74342","59862","Ja","74341","63420","Ja","74341","61111","Ja","74341","61615","Ja","50431","62948","Ja"
"NL-200400128","Eska Graphic Board Sappemeer","02037748","34893","37366","Ja","34893","29822","Ja","34893","30608","Ja","34892","31481","Ja","34892","28193","Ja","39415","29477","Ja"
"NL-200400007","Essent Energie Productie Clauscentrale","17135619","1035837","1727215","Ja","1035837","988065","Ja","1035837","568134","Ja","1035836","514054","Ja","1035836","618433","Ja","0","713739","Ja"
"NL-200400221","Essent Amercentrale","17135619","5008916","4348652","Ja","5008916","5760411","Ja","5008916","5284701","Ja","5008916","3839941","Ja","5008916","5750603","Ja","254167","5881587","Ja"
"NL-200400206","Essent BEC Cuijk","17126410","54411","196","Ja","54411","293","Ja","54411","170","Ja","54410","16","Ja","54410","198","Ja","-","-","-"
"NL-200400059","Essent Dongecentrale","17126410","72259","92028","Ja","72258","111364","Ja","72258","31660","Ja","72258","0","Ja","72258","0","Ja","-","-","-"
"NL-200400243","Essent Helmerhoek","17135619","3218","6920","Ja","3218","5596","Ja","3218","10836","Ja","3217","169","Ja","3217","1437","Ja","5193","534","Ja"
"NL-200400245","Essent Pompstation Breda","17135619","4706","3794","Ja","4706","503","Ja","4705","2474","Ja","4705","4021","Ja","4705","1188","Ja","1684","1508","Ja"
"NL-200400244","Essent Pompstation Lareijweg","17135619","1271","897","Ja","1271","994","Ja","1270","2257","Ja","1270","1185","Ja","1270","1005","Ja","765","1038","Ja"
"NL-200400246","Essent Pompstation Tilburg","17135619","7325","6758","Ja","7324","2310","Ja","7324","5212","Ja","7324","6479","Ja","7324","3827","Ja","3888","3739","Ja"
"NL-200400058","Essent WKC Bergen op Zoom","17126410","76936","18327","Ja","76936","35719","Ja","76936","38507","Ja","76935","18584","Ja","76935","0","Ja","0","2","Ja"
"NL-200400054","Essent WKC Eindhoven","17126410","76710","76139","Ja","76710","98500","Ja","76710","101558","Ja","76709","86732","Ja","76709","42514","Ja","21250","22667","Ja"
"NL-200400053","Essent WKC Erica","17135619","92921","58561","Ja","92920","78942","Ja","92920","41056","Ja","92920","68676","Ja","92920","7829","Ja","0","0","Ja"
"NL-200400057","Essent WKC Heineken","17126410","78945","18586","Ja","78945","47733","Ja","78945","72121","Ja","78944","57032","Ja","78944","6142","Ja","0","0","Ja"
"NL-200400056","Essent WKC Helmond 1/2","17126410","101547","99390","Ja","101547","126853","Ja","101546","124830","Ja","101546","80000","Ja","101546","65234","Ja","25322","64583","Ja"
"NL-200400055","Essent N.V. WKC Helmond 3","17126410","6448","0","Ja","6448","0","Ja","6448","0","Ja","-","-","-","-","-","-","-","-","-"
"NL-200400060","Essent WKC Klazienaveen","17126410","89597","55115","Ja","89597","80645","Ja","89597","59112","Ja","89596","64353","Ja","89596","126","Ja","0","0","Ja"
"NL-200400247","Essent WKC Moerdijk","17126410","577930","666234","Ja","577930","564408","Ja","577930","685320","Ja","577930","655343","Ja","577930","588904","Ja","0","586857","Ja"
"NL-200400009","Essent Productie Geleen B.V. WKC Swentibold","14063303","0","480675","Ja","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400242","Essent WKC Enschede","17126410","134114","110308","Ja","134113","144539","Ja","134113","156242","Ja","134113","105102","Ja","134113","30369","Ja","29898","22706","Ja"
"NL-200400011","ESSO Raffinaderij Rotterdam","27004771","2322404","2312246","Ja","2322404","2348518","Ja","2322403","2199782","Ja","2322403","2376927","Ja","2322403","2288316","Ja","2166663","2022826","Ja"
"NL-201000014","Euro Tank Terminal BV","24363713","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","#N/B","15860","Ja"
"NL-200400043","Eurogen C.V.","24234864","461351","459935","Ja","461350","405671","Ja","461350","468348","Ja","461350","425004","Ja","461350","466164","Ja","42452","520812","Ja"
"NL-200400293","Evonik Carbon Black Nederland B.V.","24108497","142196","141670","Ja","142195","86466","Ja","142195","61343","Ja","142195","12266","Ja","142195","1170","Ja","-","-","-"
"NL-200400220","ExxonMobil Chemical Holland B.V. (RAP)","24231768","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","453019","426593","Ja"
"NL-200400219","ExxonMobil Chemical Holland B.V. (ROP)","24231768","31249","27646","Ja","31249","25256","Ja","31248","27173","Ja","31248","25652","Ja","31248","31198","Ja","66483","59024","Ja"
"NL-201100050","ExxonMobil Chemical Holland B.V. (RPP)","24231768","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","67073","49509","Ja"
"NL-200900078","Fa. A.J. Tas & Zn","60832223","-","-","-","5491","4068","Ja","24757","21911","Ja","24757","20181","Ja","24757","19887","Ja","9374","19534","Ja"
"NL-200700134","Fa. A.J.C.M. van Vliet en Zn","27227250","12425","13914","Ja","12918","12444","Ja","12917","13940","Ja","12917","13127","Ja","12917","2975","Ja","0","-","-"
"NL-200700052","Fa. Gebr. Ammerlaan","27171144","14146","12353","Ja","14146","10626","Ja","14145","12814","Ja","14145","5399","Ja","-","-","-","-","-","-"
"NL-200700056","Fa. Gebr. Zwinkels","57606447","13727","14272","Ja","13726","12348","Ja","13726","13472","Ja","13726","7003","Ja","-","-","-","-","-","-"
"NL-200700029","CV. J.W. Knoppert en zn","51108380","10902","9845","Ja","13075","9686","Ja","13075","12282","Ja","13075","11890","Ja","13075","2707","Ja","0","-","-"
"NL-200700053","Fa. P.C.M. van Vliet en Zn., Locatie Westland","27219548","31984","34093","Ja","31984","31535","Ja","31983","34919","Ja","31983","33374","Ja","31983","33974","Ja","16113","32099","Ja"
"NL-200700054","Fa. P.C.M. van Vliet en Zn., Locatie Zeevliet","27219548","23582","25939","Ja","23582","25596","Ja","23582","29216","Ja","23582","26061","Ja","23581","27383","Ja","12649","26018","Ja"
"NL-200500009","Trespa International B.V.","24270677","22070","22162","Ja","22069","19928","Ja","22069","24297","Ja","22069","22263","Ja","22069","21231","Ja","19595","27963","Ja"
"NL-200400166","Farm Frites B.V.","24222801","41727","24832","Ja","41727","25327","Ja","41727","25696","Ja","41726","25621","Ja","41726","26650","Ja","20725","25915","Ja"
"NL-200400233","Favini Apeldoorn B.V.","08001398","19775","205","Ja","19775","0","0","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400277","Ferro (Holland) B.V. Porcelain Enamel","24032957","7480","3813","Ja","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700055","Firma G.J.A. van Adrichem","27220298","22246","21241","Ja","22246","18359","Ja","22246","20696","Ja","22245","18289","Ja","22245","5999","Ja","-","-","-"
"NL-200700057","VOF Kaaij Kwekerij","27168864","9958","9426","Ja","9958","8965","Ja","9958","10452","Ja","9958","10431","Ja","9958","2393","Ja","-","-","-"
"NL-200700059","Firma H.G.L. Zwinkels en Zn.","27249429","14427","15283","Ja","21577","18805","Ja","21577","19854","Ja","21577","7318","Ja","-","-","-","-","-","-"
"NL-200900062","Firma Kwekerij RIMATO","27262059","-","-","-","2293","2230","Ja","22820","19771","Ja","22820","17597","Ja","22820","8806","Ja","-","-","-"
"NL-200700060","Forbo Flooring B.V.","35000233","10107","11594","Ja","10107","11875","Ja","10107","12554","Ja","10107","11571","Ja","10107","11330","Ja","14199","14597","Ja"
"NL-200400274","FrieslandCampina Bedum","18039614","17419","20312","Ja","17419","19026","Ja","17419","18301","Ja","17418","21209","Ja","17418","20850","Ja","18080","27401","Ja"
"NL-200400216","FrieslandCampina Beilen","18039614","45593","44933","Ja","45593","44247","Ja","45593","45595","Ja","45593","44084","Ja","45592","43167","Ja","41127","48559","Ja"
"NL-200400257","FrieslandCampina Domo locatie Borculo","18039614","83230","57954","Ja","83230","47650","Ja","83230","38428","Ja","83230","43751","Ja","83229","57614","Ja","51194","58401","Ja"
"NL-200400248","FrieslandCampina DMV B.V., locatie Veghel","11057386","134797","106830","Ja","134797","108198","Ja","134797","106169","Ja","134797","104229","Ja","134796","103292","Ja","84204","125166","Ja"
"NL-200700061","FrieslandCampina Dronrijp","18039614","9822","11758","Ja","9821","11238","Ja","9821","11116","Ja","9821","6096","Ja","-","-","-","-","-","-"
"NL-200400253","FrieslandCampina Leeuwarden","18039614","67952","68603","Ja","67952","70997","Ja","67952","69804","Ja","67952","71331","Ja","67952","58033","Ja","44283","56028","Ja"
"NL-200400261","FrieslandCampina Lochem","18039614","22564","24461","Ja","22564","25446","Ja","22564","24964","Ja","22564","25038","Ja","22563","24513","Ja","38999","42572","Ja"
"NL-200700062","FrieslandCampina Meppel (Kievit)","18039614","14580","18447","Ja","14580","19890","Ja","14580","21204","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700063","FrieslandCampina Workum","18039614","15225","17132","Ja","15225","18883","Ja","15225","19766","Ja","15225","18894","Ja","15224","18183","Ja","18775","23452","Ja"
"NL-200400255","Frisia Zout B.V.","01089417","128250","130593","Ja","128250","106166","Ja","128249","124246","Ja","128249","39293","Ja","128249","1677","Ja","0","508","Ja"
"NL-200400165","FUJIFILM Manufacturing Europe B.V.","18025280","49697","45554","Ja","49697","38502","Ja","49697","44180","Ja","49697","50852","Ja","49697","53047","Ja","34719","37944","Ja"
"NL-200700019","G.J.M. van Ruijven","24489779","9238","8024","Ja","9237","7219","Ja","9237","8234","Ja","9237","7973","Ja","9237","2391","Ja","-","-","-"
"NL-201300107","Gate Terminal B.V. (Maasvlakte)","24385944","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","21","Ja"
"NL-200400175","GDF SUEZ E&P Nederland BV, K12-B platform","27113806","10803","14825","Ja","10803","15719","Ja","10803","14392","Ja","10803","14063","Ja","10803","15117","Ja","31766","33438","Ja"
"NL-200400285","GDF SUEZ E&P Nederland BV, F3-FB-1 platform","27113806","79842","66685","Ja","79842","54798","Ja","79842","53818","Ja","79842","53450","Ja","79841","60401","Ja","0","56779","Ja"
"NL-201200005","GDF Suez Centrale Rotterdam","05043978","-","-","-","-","-","-","-","-","-","-","-","-","0","95","Ja","0","183009","Ja"
"NL-200800069","GDF SUEZ E&P Nederland B.V., D15-A platform","27113806","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19779","26136","Ja"
"NL-200800070","GDF SUEZ E&P Nederland B.V., G17-d-A/AP platform","27113806","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38214","30360","Ja"
"NL-200400172","Gaz de France, L10-A platform","27113806","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","73766","72440","Ja"
"NL-200700025","Tomatenkwekerij Gebr. Duijvestijn","27227342","14451","15166","Ja","18732","15840","Ja","18731","17221","Ja","18731","15124","Ja","18731","9043","Ja","8781","1686","Ja"
"NL-200800066","Gebr. van der Lee","23045407","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5813","8567","Ja"
"NL-200700064","Gebr. van der Voort","27233536","12176","14032","Ja","13084","11124","Ja","13084","13708","Ja","13084","5356","Ja","-","-","-","-","-","-"
"NL-200700037","Gebr. Van Duijn B.V.","27227076","10912","12593","Ja","10912","10012","Ja","10912","10339","Ja","10912","6455","Ja","-","-","-","-","-","-"
"NL-200400135","Gebr. Gresnigt Holding B.V. (Seasun West)","30076414","42066","40381","Ja","42066","36052","Ja","42066","42020","Ja","42066","40476","Ja","42065","42205","Ja","25714","36802","Ja"
"NL-200700065","Gebroeders L. & J. Voskamp BV","27215630","22441","25036","Ja","22440","23597","Ja","22440","28595","Ja","22440","21069","Ja","22440","17941","Ja","12687","19200","Ja"
"NL-200400287","SCA Nederland B.V.","33137904","19011","19377","Ja","19011","18691","Ja","19011","19835","Ja","19011","19816","Ja","19010","20241","Ja","19080","20332","Ja"
"NL-200900063","Gipmans Groep","12046740","-","-","-","8752","5014","Ja","19025","14345","Ja","19025","12735","Ja","19025","12307","Ja","8590","13119","Ja"
"NL-200700103","Givaudan Nederland BV","32043950","9551","8882","Ja","9551","8918","Ja","9550","8884","Ja","9550","7733","Ja","9550","4657","Ja","-","-","-"
"NL-201300201","Global Switch Amsterdam B.V.","27184200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","821","Ja"
"NL-200400217","Grasdrogerij Hartog B.V.","37125836","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6150","5441","Ja"
"NL-200700067","Green O5 B.V.","27282114","7673","4624","Ja","11085","6176","Ja","11085","8120","Ja","11085","6138","Ja","11084","2417","Ja","-","-","-"
"NL-200500081","Grolsche Bierbrouwerij Nederland BV","06060381","15622","9149","Ja","15621","8079","Ja","15621","7635","Ja","15621","7236","Ja","15621","7375","Ja","8031","7130","Ja"
"NL-201000122","Haagse Asfaltcentrale (HAC)","27257077","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3226","5146","Ja"
"NL-200700068","Hasselt Energy B.V.","24308111","20988","17925","Ja","20988","12658","Ja","20988","12342","Ja","20987","11895","Ja","20987","4699","Ja","-","-","-"
"NL-200700030","HB Energy BV","01111457","37112","34156","Ja","37112","33060","Ja","37112","34453","Ja","37112","31380","Ja","37112","29844","Ja","15673","32432","Ja"
"NL-200400202","Heineken Nederland B.V., brouwerij Zoeterwoude","33127977","73534","67614","Ja","73534","60803","Ja","73533","51762","Ja","73533","48523","Ja","73533","47267","Ja","33611","47285","Ja"
"NL-200400227","Heineken Nederland B.V., locatie Den Bosch","33127977","15017","22200","Ja","15016","17541","Ja","15016","13215","Ja","15016","13033","Ja","15016","19420","Ja","21322","18484","Ja"
"NL-201100008","Holland Malt B.V. locatie Eemshaven","30122973","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17015","17625","Ja"
"NL-200700069","Hollandplant B.V.","24312764","5026","287","Ja","5026","379","Ja","5026","791","Ja","5025","855","Ja","5025","557","Ja","479","263","Ja"
"NL-200700070","Huhtamaki Nederland BV","01051894","15359","14392","Ja","15359","13406","Ja","15359","13123","Ja","15359","12838","Ja","15359","13050","Ja","11772","12792","Ja"
"NL-200500014","IAMS Europe B.V.","17095607","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8205","9699","Ja"
"NL-200400249","Indorama Holdings Rotterdam BV","34289131","107861","102492","Ja","107860","116784","Ja","107860","115644","Ja","107860","117123","Ja","107860","111548","Ja","114638","157310","Ja"
"NL-200900071","IOI - Loders Croklaan Oils B.V.","34204984","-","-","-","-","-","-","7220","8498","Ja","11194","14891","Ja","10974","15721","Ja","8342","15642","Ja"
"NL-200700071","J.A.M. Groenewegen B.V.","24196847","14213","12940","Ja","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700018","J.A.M. van Marrewijk BV","27228301","15211","14093","Ja","15211","10126","Ja","15211","13197","Ja","15211","13025","Ja","15211","4174","Ja","-","-","-"
"NL-200400137","J.G. Timmerman Groenvoederdrogerij B.V.","22018968","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15647","18032","Ja"
"NL-200900009","J.S.E. B.V.","17201731","-","-","-","6338","6123","Ja","20731","18112","Ja","20731","18715","Ja","20731","21074","Ja","0","15341","Ja"
"NL-200700072","Jansen Hoeven BV","20110240","10032","11364","Ja","10031","9137","Ja","10031","10935","Ja","10031","11015","Ja","10031","0","Ja","-","-","-"
"NL-200800025","Jansen Paprika","27272245","3689","3691","Ja","14108","13443","Ja","14108","15771","Ja","14108","15308","Ja","14108","3222","Ja","-","-","-"
"NL-200500011","Johnson Matthey B.V.","14600043","3320","4366","Ja","3319","3838","Ja","3319","4612","Ja","3319","4012","Ja","3319","3885","Ja","3970","4115","Ja"
"NL-200700104","Kaaij Group","24186434","11070","8207","Ja","15361","14407","Ja","15360","13940","Ja","15360","12718","Ja","15360","4088","Ja","-","-","-"
"NL-200700073","KBB Holland","24341798","16708","15180","Ja","28381","21115","Ja","28381","24054","Ja","28381","22294","Ja","28381","20056","Ja","10865","18714","Ja"
"NL-200700152","Kesgro","27242068","32225","26409","Ja","45087","35829","Ja","45087","41518","Ja","45087","40360","Ja","45087","39462","Ja","17809","42660","Ja"
"NL-200800102","Kisuma Chemicals B.V.","02061424","10705","10475","Ja","12519","5862","Ja","13972","11021","Ja","14515","10341","Ja","16422","7928","Ja","10225","13188","Ja"
"NL-200700074","Kleiwarenfabriek Buggenum BV","13032188","5483","5618","Ja","5483","6112","Ja","5483","6090","Ja","5483","6046","Ja","5482","5636","Ja","4954","4891","Ja"
"NL-200400271","Kleiwarenfabriek De Bylandt B.V.","09004469","31576","35843","Ja","31576","36649","Ja","31576","35560","Ja","31576","31049","Ja","31576","32438","Ja","31812","31028","Ja"
"NL-200700075","Kleiwarenfabriek De Waalwaard","34015208","9051","7755","Ja","9051","6094","Ja","9051","0","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700076","Kleiwarenfabriek Facade Beek","13032188","7955","8560","Ja","7955","7224","Ja","7955","7611","Ja","7955","7730","Ja","7954","7314","Ja","7082","7139","Ja"
"NL-200700077","Kleiwarenfabriek Joosten Kessel BV","13032188","11297","13130","Ja","11297","10142","Ja","11297","6892","Ja","11296","5974","Ja","11296","6639","Ja","11808","6920","Ja"
"NL-200700078","Kleiwarenfabriek Joosten Wessem BV","13032188","7556","9039","Ja","7556","7761","Ja","7556","8290","Ja","7556","7615","Ja","7555","7588","Ja","8511","7489","Ja"
"NL-200700135","Kleiwarenfabriek Nuth","13032188","9738","6072","Ja","9738","5895","Ja","9738","4902","Ja","9738","4670","Ja","9737","4593","Ja","3872","4417","Ja"
"NL-200500088","KLM Engineering & Maintenance Schiphol Oost","33014286","12305","10422","Ja","12304","10543","Ja","12304","11908","Ja","12304","10432","Ja","12304","10325","Ja","12233","17383","Ja"
"NL-200400139","Koch HC Partnership B.V.","33298434","97263","95076","Ja","97263","96720","Ja","97263","104011","Ja","97263","106580","Ja","97263","118310","Ja","103608","90314","Ja"
"NL-200400212","Koninklijke Douwe Egberts B.V.","01045536","8352","10327","Ja","8352","10403","Ja","8352","11059","Ja","8352","10175","Ja","8352","11740","Ja","15429","12866","Ja"
"NL-200700079","Koninklijke Machinefabriek Stork","06019278","5426","3696","Ja","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700145","Koninklijke Mosa B.V., locatie Vloertegel","14600086","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13298","14777","Ja"
"NL-200700036","Koninklijke Mosa BV, locatie Wandtegel","14600086","23936","23104","Ja","23936","23725","Ja","23936","22954","Ja","23936","22621","Ja","23935","20921","Ja","21040","20500","Ja"
"NL-200400169","Koninklijke Nedalco B.V.","20002639","33855","31445","Ja","33855","17663","Ja","33854","4614","Ja","-","-","-","-","-","-","-","-","-"
"NL-200700080","Koole Tankstorage Pernis B.V.","24250858","8822","505","Ja","8822","33","Ja","8822","184","Ja","8822","6041","Ja","8822","14599","Ja","11134","15285","Ja"
"NL-200800076","Koudasfalt Staphorst BV","05024903","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3267","3802","Ja"
"NL-200400138","Kuwait Petroleum Europoort B.V.","24137800","523569","518294","Ja","523569","526735","Ja","523568","531079","Ja","523568","551950","Ja","523568","511089","Ja","455758","427554","Ja"
"NL-200900080","Kwekerij 4Evergreen - lokatie Sint-Annaland","27235312","-","-","-","2020","576","Ja","17104","16420","Ja","17104","14642","Ja","17104","3910","Ja","-","-","-"
"NL-200700038","Kwekerij 4Evergreen - lokatie Steenbergen","27307023","27357","30691","Ja","27357","29563","Ja","27357","30670","Ja","27357","28027","Ja","27356","26763","Ja","14456","25820","Ja"
"NL-200700174","Kwekerij Bergpeppers BV","27273364","18865","18167","Ja","23210","19477","Ja","23210","21989","Ja","23210","23782","Ja","23210","13475","Ja","-","-","-"
"NL-200700185","Kwekerij de Graafsebos CV","17102771","8359","8726","Ja","8359","9933","Ja","8359","13045","Ja","8359","11404","Ja","8359","11385","Ja","-","-","-"
"NL-200700082","Kwekerij De Kabel BV","27304173","22372","19067","Ja","22372","16416","Ja","22372","19248","Ja","22371","17214","Ja","22371","17712","Ja","8522","17972","Ja"
"NL-200700120","Kwekerij de Punderman CV","17086693","13248","14030","Ja","13248","13901","Ja","13248","15333","Ja","13248","13372","Ja","13248","13321","Ja","-","-","-"
"NL-200700148","Kwekerij de Wieringermeer","27280080","46133","44580","Ja","59356","53260","Ja","59356","62468","Ja","59356","52712","Ja","59356","52144","Ja","27872","52540","Ja"
"NL-200700083","Kwekerij Dukker Konneweg (1)","24280765","11724","11382","Ja","12535","9525","Ja","12535","11612","Ja","12535","10740","Ja","12535","3675","Ja","-","-","-"
"NL-200900045","Kwekerij Dukker B.V.","24280765","-","-","-","12483","9827","Ja","12483","11144","Ja","12483","4514","Ja","-","-","-","-","-","-"
"NL-200600040","Harting Holland B.V.","27183760","44142","40574","Ja","44142","32697","Ja","44142","40172","Ja","44142","37294","Ja","44141","36273","Ja","20458","24168","Ja"
"NL-200700149","Kwekerij Helderman","27263454","20983","17184","Ja","34502","27564","Ja","34502","32048","Ja","34502","30338","Ja","34502","30394","Ja","15034","21034","Ja"
"NL-200800108","Kwekerij Het Kraaiennest BV","27197799","-","-","Ja","29842","21130","Ja","29842","26374","Ja","29842","20866","Ja","29842","17478","Ja","11698","3626","Ja"
"NL-200700170","Kwekerij Minida","24361499","15937","16917","Ja","15937","13312","Ja","15937","15499","Ja","15937","14910","Ja","15937","14295","Ja","7230","13259","Ja"
"NL-200900079","Kwekerij Mooijman","27341899","-","-","-","4371","2991","Ja","19385","18059","Ja","19385","17620","Ja","19385","16450","Ja","11674","16740","Ja"
"NL-200700051","Kwekerij Overgaag","53628160","11974","14882","Ja","11974","12395","Ja","11974","14928","Ja","11974","13757","Ja","11974","13551","Ja","6975","5028","Ja"
"NL-200700085","Kwekerij Peter Hoogerbrugge BV","27184908","7830","6786","Ja","7829","6686","Ja","7829","9511","Ja","7829","7452","Ja","7829","1996","Ja","-","-","-"
"NL-200700022","Kwekerij Rozenhof Moerkapelle BV","29036635","13329","13487","Ja","13328","14586","Ja","13328","15513","Ja","13328","15036","Ja","13328","3884","Ja","-","-","-"
"NL-200900093","Kwekerij Schenkeveld II B.V.","27217628","-","-","-","3324","1003","Ja","16262","12883","Ja","16262","11155","Ja","16262","2547","Ja","-","-","-"
"NL-200700086","Kwekerij Schenkeveld III B.V.","27268099","12722","12939","Ja","12721","10448","Ja","12721","13256","Ja","12721","10340","Ja","12721","2488","Ja","-","-","-"
"NL-200700184","Kwekerij Varenschut CV","18055939","17690","16901","Ja","17690","17374","Ja","17690","18544","Ja","17690","14487","Ja","17690","15968","Ja","-","-","-"
"NL-200800077","KWS Infra B.V. Asfaltcentrale Eindhoven","05062469","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2225","2731","Ja"
"NL-200800072","KWS Infra B.V. Asfaltcentrale Roosendaal","05062469","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1890","3800","Ja"
"NL-200700023","L.W. vd Houwen B.V.","24275343","20508","19680","Ja","20508","19612","Ja","20508","17927","Ja","20508","16197","Ja","20508","8674","Ja","-","-","-"
"NL-200500045","Lamb Weston Meijer V.O.F., vestiging Oosterbierum","22036226","21687","24951","Ja","21687","14214","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200700087","Lans Zeeland BV, Locatie Lans Bathpolderdwarsweg","27257269","20597","21640","Ja","20597","21874","Ja","20596","23803","Ja","20596","21465","Ja","20596","21465","Ja","-","-","-"
"NL-200700088","Lans Westland BV, Locatie Lans Burgerweg","27231494","19478","17898","Ja","19478","17575","Ja","19478","20360","Ja","19477","18249","Ja","19477","17174","Ja","-","-","-"
"NL-200700089","Lans Westland BV, Locatie Lans Herenwerf","27231494","13223","12949","Ja","13222","12547","Ja","13222","14261","Ja","13222","13543","Ja","13222","12198","Ja","-","-","-"
"NL-200800008","Lans Westland BV, Locatie Lans Maasambacht","27231494","15371","15267","Ja","15371","13843","Ja","15371","15298","Ja","15371","12945","Ja","15371","13283","Ja","-","-","-"
"NL-200800101","Leo Hoogweg B.V. (KBW 10-2)","27138860","-","-","-","40811","32119","Ja","66983","60673","Ja","66983","57118","Ja","66983","54854","Ja","29446","52882","Ja"
